method,split,key,source_session,source_event_id,event_id,camera,chain_translation_mm,chain_rotation_deg,corner_count,pixel_sse,reprojection_rmse_px,pixel_failure
shah,train,cam0-3_01:23,cam0-3_01,23,53,3,22.85549600432335,4.099678414469369,21,1881.0349425481359,9.464306234600198,
shah,train,cam0-3_01:24,cam0-3_01,24,54,3,21.174326453709025,3.788074829408852,30,1593.878857488922,7.288984514294891,
shah,train,cam0-3_01:25,cam0-3_01,25,55,3,5.771883792780973,2.290760365548055,30,1140.6873226341604,6.166272030528009,
shah,train,cam0-3_01:27,cam0-3_01,27,57,3,20.795251232243125,2.3950945961916323,14,985.8519647536975,8.391543212211147,
shah,train,cam0-3_01:28,cam0-3_01,28,58,3,19.36414425586044,1.5814139495724193,23,1767.2605853372643,8.765695451804957,
shah,train,cam0-3_01:29,cam0-3_01,29,59,3,21.44694602864917,2.2350984677034025,27,2123.149946892431,8.867648122148182,
shah,train,cam0-3_01:31,cam0-3_01,31,61,3,28.683700450069992,8.915030796492049,22,3550.9727399845283,12.704638988081422,
shah,train,cam0-3_01:32,cam0-3_01,32,62,3,69.12456828650828,22.607149578653267,20,6167.625841629371,17.560788481200625,
shah,train,cam0-3_01:33,cam0-3_01,33,63,3,12.638524408211516,2.6674661872799184,28,8070.2154755460615,16.977101674593992,
shah,train,cam0-3_01:35,cam0-3_01,35,65,3,15.807152437651258,10.146065978490073,13,6709.461029110903,22.718107026217762,
shah,train,cam0-3_01:37,cam0-3_01,37,67,3,14.914503573864435,3.3208839620581205,20,8437.441689695592,20.539524933278752,
shah,train,cam0-3_01:39,cam0-3_01,39,69,3,39.380379383894,12.030640107547086,15,8456.414316780014,23.743650823999264,
shah,train,cam1-3_02:0,cam1-3_02,0,70,3,4.783358547428417,1.356298070191383,33,986.5663148468234,5.4677188053842185,
shah,train,cam1-3_02:1,cam1-3_02,1,71,3,7.9720082080804655,1.4595358143889965,25,1742.7282136067295,8.349199275635309,
shah,train,cam1-3_02:3,cam1-3_02,3,73,3,8.304681190262402,1.1716772533960904,36,3424.4551713912424,9.753140763921529,
shah,train,cam1-3_02:4,cam1-3_02,4,74,3,5.992187020229283,1.3311339916126315,31,1527.6080522456764,7.019806201363342,
shah,train,cam1-3_02:5,cam1-3_02,5,75,3,6.666445228098199,1.5121385933651528,23,1417.5561608961693,7.850660899612403,
shah,train,cam1-3_02:7,cam1-3_02,7,77,3,8.214040352742593,1.5024610477265752,27,2468.3008948522174,9.561304914141857,
shah,train,cam1-3_02:8,cam1-3_02,8,78,3,10.31080098444676,1.9810309266913682,9,1601.248912506649,13.33853612035714,
shah,train,cam1-3_02:9,cam1-3_02,9,79,3,7.829031902729084,1.5561851468651606,24,2210.2792788527004,9.596612420651146,
shah,train,cam1-3_02:11,cam1-3_02,11,81,3,11.101195413638116,1.6531185415907688,15,3083.5154287308264,14.337632135353514,
shah,train,cam1-3_02:13,cam1-3_02,13,83,3,9.25754630315426,1.3554326246394288,40,3981.4454112345948,9.976779805170848,
shah,train,cam1-3_02:15,cam1-3_02,15,85,3,9.825328178633551,1.5184740953938554,38,10877.488865832123,16.91891565661293,
shah,train,cam1-3_02:16,cam1-3_02,16,86,3,8.538841867143478,1.5012451017397919,19,5539.746018003116,17.075291502486884,
shah,train,cam1-3_02:17,cam1-3_02,17,87,3,12.037072133776533,1.4355347951790973,38,6685.401071772712,13.263921258508491,
shah,train,cam1-3_02:19,cam1-3_02,19,89,3,11.938819126348488,1.6272067426059893,23,5504.922596794967,15.470761478680226,
shah,train,cam1-3_02:20,cam1-3_02,20,90,3,9.681550253814905,1.7609113540353767,34,4803.0697896127795,11.88556933924593,
shah,train,cam1-3_02:21,cam1-3_02,21,91,3,9.099847296147118,1.8634475888743793,12,1563.7129185532087,11.415314707857776,
shah,train,cam1-3_02:23,cam1-3_02,23,93,3,9.654383219875657,1.58008579888173,26,4369.112334764162,12.963131647341777,
shah,train,cam1-3_02:24,cam1-3_02,24,94,3,10.233312703674347,1.5135268820804728,38,7106.690070367366,13.675458301150629,
shah,train,cam1-3_02:25,cam1-3_02,25,95,3,5.9135365781382685,1.59350793429977,33,2452.5935397171233,8.620963771821822,
shah,train,cam1-3_02:27,cam1-3_02,27,97,3,5.50748100837083,1.5608114767499242,30,1605.691318433607,7.3159445014151725,
shah,train,cam1-3_02:28,cam1-3_02,28,98,3,8.272500560689355,1.527635828251828,34,2339.523849651942,8.295150691202842,
shah,train,cam1-3_02:29,cam1-3_02,29,99,3,8.992063852565183,1.2669120722013245,31,3065.132603690824,9.94360323425815,
